Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID4327947,4327947,5,117.305,16.673,8.948,0,5.050,101,0.250,1,-10921639,699.952,652,587,1047,14699,113.360,0.300,0.045,0.526
ID4329548,4329548,5,222.408,16.682,8.888,0,5.100,102,0.250,1,-10921639,760.429,749,586,1070,15969,136.661,0.300,0.086,0.884
ID4326350,4326350,5,94.187,16.745,8.932,0,5.150,103,0.250,1,-10921639,669.143,635,564,897,14052,80.565,0.857,0.026,0.425
ID4331093,4331093,5,98.128,16.675,8.900,0,5.200,104,0.250,1,-10921639,678.476,702,504,798,14248,92.461,0.300,0.039,0.555
ID4332709,4332709,5,63.101,16.694,8.916,0,5.250,105,0.250,1,-10921639,684.048,688,591,786,14365,53.715,0.807,0.040,0.968
ID4329366,4329366,6,219.211,30.227,60.337,0,5.050,101,0.250,1,-10921639,844.238,835,639,1125,17729,153.041,0.400,0.087,0.883
ID4330897,4330897,6,90.448,30.281,60.289,0,5.100,102,0.250,1,-10921639,774.190,767,570,957,16258,91.079,0.557,0.046,0.742
ID4327758,4327758,6,108.572,30.326,60.282,0,5.150,103,0.250,1,-10921639,750.857,762,569,888,15768,96.461,0.300,0.041,0.620
ID4332511,4332511,6,197.409,30.221,60.353,0,5.200,104,0.250,1,-10921639,800.762,763,567,1150,16816,144.803,0.300,0.059,0.617
ID4337086,4337086,6,64.575,30.148,60.404,0,5.250,105,0.250,1,-10921639,725.190,731,604,896,15229,90.833,0.849,0.010,0.164
ID4328488,4328488,15,93.049,33.798,28.870,0,5.050,101,0.250,1,-10921639,613.952,574,507,885,12893,92.759,0.400,0.007,0.086
ID4330095,4330095,15,116.923,33.763,28.782,0,5.100,102,0.250,1,-10921639,685.810,681,540,925,14402,103.070,0.300,0.040,0.509
ID4326878,4326878,15,82.921,33.834,28.846,0,5.150,103,0.250,1,-10921639,641.810,622,527,923,13478,98.034,0.400,0.016,0.208
ID4331616,4331616,15,63.351,33.804,28.947,0,5.200,104,0.250,1,-10921639,636.619,632,535,769,13369,66.781,0.542,0.017,0.317
ID4334335,4334335,15,139.202,33.807,28.839,0,5.250,105,0.250,1,-10921639,714.810,721,585,993,15011,107.791,0.557,0.056,0.709
ID4328959,4328959,22,172.692,31.150,44.975,0,5.050,101,0.250,1,-10921639,731.381,694,581,1019,15359,125.970,0.400,0.070,0.759
ID4330557,4330557,22,95.187,31.067,45.022,0,5.100,102,0.250,1,-10921639,705.095,686,538,913,14807,107.084,0.604,0.043,0.545
ID4327392,4327392,22,94.130,31.082,45.053,0,5.150,103,0.250,1,-10921639,686.381,681,540,930,14414,102.612,0.300,0.043,0.552
ID4332109,4332109,22,182.484,31.126,44.971,0,5.200,104,0.250,1,-10921639,714.143,700,504,1084,14997,132.619,0.300,0.051,0.520
ID4335839,4335839,22,144.225,31.169,44.986,0,5.250,105,0.250,1,-10921639,726.905,692,555,1024,15265,122.429,0.595,0.054,0.605
ID4336042,4336042,22,82.224,31.058,44.998,0,5.300,106,0.250,1,-10921639,665.429,658,531,887,13974,83.711,0.300,0.027,0.415
ID4338488,4338488,22,176.723,31.082,45.022,0,5.350,107,0.250,1,-10921639,715.619,671,536,1095,15028,149.769,0.300,0.051,0.461
ID4336144,4336144,22,167.035,31.056,44.966,0,5.400,108,0.250,1,-10921639,707.571,694,565,1047,14859,108.056,0.300,0.065,0.794
ID4340057,4340057,22,130.181,31.111,45.012,0,5.450,109,0.250,1,-10921639,692.286,642,571,920,14538,107.217,0.400,0.046,0.565
ID4341683,4341683,22,120.192,31.120,45.026,0,5.500,110,0.250,1,-10921639,727.571,721,589,1014,15279,113.250,0.400,0.042,0.518
ID4343253,4343253,22,221.823,31.094,44.979,0,5.550,111,0.250,1,-10921639,719.762,697,553,1060,15115,146.094,0.300,0.072,0.659
ID4344864,4344864,22,130.020,31.053,45.029,0,5.600,112,0.250,1,-10921639,695.476,690,523,894,14605,110.388,0.300,0.048,0.582
ID4349548,4349548,22,142.202,31.109,44.947,0,5.650,113,0.250,1,-10921639,697.667,696,541,872,14651,99.171,0.300,0.050,0.670
ID4346427,4346427,22,77.538,31.033,44.984,0,5.700,114,0.250,1,-10921639,673.048,675,515,794,14134,63.179,0.400,0.033,0.680
ID4348000,4348000,22,148.378,31.104,44.982,0,5.750,115,0.250,1,-10921639,703.952,668,532,976,14783,117.909,0.400,0.058,0.651
ID4351121,4351121,22,121.802,31.127,45.041,0,5.800,116,0.250,1,-10921639,664.571,668,525,981,13956,104.445,0.300,0.025,0.314
ID4352678,4352678,22,156.971,31.031,44.981,0,5.850,117,0.250,1,-10921639,697.286,652,583,947,14643,106.745,0.300,0.057,0.701
ID4354221,4354221,22,128.084,31.074,44.946,0,5.900,118,0.250,1,-10921639,732.810,746,575,872,15389,105.116,0.795,0.054,0.719
ID4355735,4355735,22,227.882,31.074,44.994,0,5.950,119,0.250,1,-10921639,757.857,721,541,1090,15915,167.262,0.300,0.069,0.586
ID4357285,4357285,22,151.610,31.004,45.046,0,6.000,120,0.250,1,-10921639,739.857,706,572,943,15537,112.507,0.300,0.062,0.774
ID4360401,4360401,22,228.212,31.085,44.993,0,6.050,121,0.250,1,-10921639,783.238,754,631,1172,16448,138.732,0.599,0.090,0.928
ID4359164,4359164,22,135.596,31.112,44.998,0,6.100,122,0.250,1,-10921639,680.857,660,539,974,14298,98.259,0.400,0.044,0.584
ID4363462,4363462,22,135.644,31.153,45.006,0,6.150,123,0.250,1,-10921639,687.952,662,568,933,14447,108.448,0.300,0.049,0.590
ID4361936,4361936,22,92.868,31.119,44.972,0,6.200,124,0.250,1,-10921639,663.905,655,558,847,13942,81.378,0.809,0.032,0.501
ID4368177,4368177,22,139.416,31.103,45.009,0,6.250,125,0.250,1,-10921639,686.952,686,541,950,14426,103.653,0.300,0.052,0.658
ID4365036,4365036,22,84.008,31.154,44.975,0,6.300,126,0.250,1,-10921639,653.429,643,523,810,13722,82.168,0.300,0.018,0.280
ID4366612,4366612,22,122.818,31.106,45.003,0,6.350,127,0.250,1,-10921639,663.714,634,551,1123,13938,123.188,0.400,0.028,0.298
ID4372922,4372922,22,102.594,31.070,45.050,0,6.400,128,0.250,1,-10921639,664.857,620,526,870,13962,103.696,0.400,0.016,0.199
ID4369794,4369794,22,74.578,31.132,45.000,0,6.450,129,0.250,1,-10921639,660.429,649,522,782,13869,67.719,0.300,0.026,0.496
ID4371360,4371360,22,135.447,31.083,45.021,0,6.500,130,0.250,1,-10921639,666.619,652,526,1002,13999,106.243,0.852,0.048,0.576
ID4374478,4374478,22,185.389,31.114,44.974,0,6.550,131,0.250,1,-10921639,700.714,690,533,1087,14715,126.139,0.300,0.052,0.548
ID4376015,4376015,22,137.065,31.141,44.954,0,6.600,132,0.250,1,-10921639,708.095,700,581,916,14870,91.831,0.400,0.052,0.767
ID4379085,4379085,22,136.073,31.092,45.044,0,6.650,133,0.250,1,-10921639,692.619,688,543,920,14545,102.949,0.300,0.047,0.606
ID4377552,4377552,22,142.806,31.115,45.021,0,6.700,134,0.250,1,-10921639,722.381,701,578,955,15170,101.822,0.300,0.065,0.863
ID4380619,4380619,22,121.170,31.061,45.063,0,6.750,135,0.250,1,-10921639,681.476,655,551,953,14311,105.776,0.300,0.042,0.522
