Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID4068122,4068122,3,49.067,55.320,57.027,0,7.550,151,0.250,1,-10921639,673.476,634,536,988,14143,117.668,0.300,0.053,0.572
ID4068910,4068910,3,57.408,55.348,57.062,0,7.600,152,0.250,1,-10921639,656.571,645,545,928,13788,88.408,0.800,0.043,0.617
ID4070521,4070521,3,40.225,55.302,57.127,0,7.650,153,0.250,1,-10921639,612.095,580,515,855,12854,86.250,0.300,0.015,0.205
ID4069893,4069893,3,67.220,55.370,57.143,0,7.700,154,0.250,1,-10921639,649.429,620,563,915,13638,89.063,0.300,0.055,0.760
ID4071312,4071312,3,42.961,55.326,57.126,0,7.750,155,0.250,1,-10921639,639.381,630,532,965,13427,99.711,0.300,0.041,0.504
ID4067486,4067486,4,118.783,33.784,1.694,0,7.550,151,0.250,1,-10921639,683.667,696,508,888,14357,116.563,0.300,0.063,0.692
ID4068271,4068271,4,106.041,33.791,1.695,0,7.600,152,0.250,1,-10921639,717.857,715,520,939,15075,108.365,0.400,0.073,0.905
ID4069650,4069650,4,104.571,33.696,1.802,0,7.650,153,0.250,1,-10921639,674.333,618,514,1035,14161,146.681,0.400,0.063,0.546
ID4069042,4069042,4,50.313,33.780,1.721,0,7.700,154,0.250,1,-10921639,644.524,629,551,826,13535,79.715,0.849,0.031,0.493
ID4070646,4070646,4,81.958,33.744,1.707,0,7.750,155,0.250,1,-10921639,649.810,622,513,822,13646,92.911,0.400,0.050,0.671
ID4068394,4068394,7,50.925,12.544,11.005,0,7.600,152,0.250,1,-10921639,678.333,665,544,910,14245,110.057,0.601,0.028,0.331
ID4069898,4069898,7,71.664,12.627,10.933,0,7.650,153,0.250,1,-10921639,707.667,696,592,926,14861,91.736,0.300,0.059,0.854
ID4069164,4069164,7,72.366,12.659,10.874,0,7.700,154,0.250,1,-10921639,700.381,668,549,983,14708,114.678,0.300,0.057,0.656
ID4070759,4070759,7,59.867,12.505,10.797,0,7.750,155,0.250,1,-10921639,715.857,707,627,834,15033,61.348,0.400,0.053,1.178
ID4071582,4071582,7,82.090,12.363,10.853,0,7.800,156,0.250,1,-10921639,700.190,688,589,887,14704,85.744,0.400,0.059,0.906
ID4067986,4067986,8,98.819,42.661,43.519,0,7.550,151,0.250,1,-10921639,712.429,679,568,1027,14961,114.524,0.400,0.065,0.755
ID4068779,4068779,8,84.724,42.586,43.595,0,7.600,152,0.250,1,-10921639,714.381,731,544,851,15002,93.867,0.595,0.054,0.779
ID4070396,4070396,8,74.927,42.561,43.612,0,7.650,153,0.250,1,-10921639,711.667,697,559,903,14945,98.843,0.591,0.048,0.662
ID4069599,4069599,8,75.546,42.749,43.626,0,7.700,154,0.250,1,-10921639,703.857,695,577,941,14781,105.655,0.300,0.046,0.588
ID4071176,4071176,8,126.755,42.871,43.610,0,7.750,155,0.250,1,-10921639,745.857,712,572,1054,15663,151.574,0.300,0.059,0.546
ID4071998,4071998,8,81.559,42.816,43.708,0,7.800,156,0.250,1,-10921639,705.905,691,569,832,14824,96.286,0.597,0.050,0.695
ID4073637,4073637,8,74.326,42.651,43.608,0,7.850,157,0.250,1,-10921639,705.810,662,576,947,14822,110.038,0.400,0.048,0.588
ID4072815,4072815,8,79.724,42.677,43.649,0,7.900,158,0.250,1,-10921639,685.000,680,548,867,14385,83.681,0.300,0.044,0.692
ID4074446,4074446,8,109.587,42.857,43.712,0,7.950,159,0.250,1,-10921639,735.857,734,547,1006,15453,112.916,0.400,0.061,0.747
ID4075223,4075223,8,121.131,42.942,43.630,0,8.000,160,0.250,1,-10921639,754.000,769,568,901,15834,86.998,0.598,0.070,1.133
ID4067873,4067873,9,55.122,54.621,34.781,0,7.550,151,0.250,1,-10921639,661.190,652,520,896,13885,87.712,0.839,0.037,0.538
ID4068649,4068649,9,43.093,54.530,34.846,0,7.600,152,0.250,1,-10921639,643.810,635,518,754,13520,68.734,0.300,0.027,0.498
ID4070261,4070261,9,67.796,54.641,34.685,0,7.650,153,0.250,1,-10921639,639.714,613,557,867,13434,84.299,0.400,0.040,0.585
ID4069470,4069470,9,86.557,54.685,34.704,0,7.700,154,0.250,1,-10921639,673.095,656,520,916,14135,100.063,0.300,0.055,0.704
ID4071048,4071048,9,36.814,54.723,34.716,0,7.750,155,0.250,1,-10921639,621.667,619,538,709,13055,54.576,0.300,0.015,0.338
ID4067730,4067730,12,64.563,54.163,22.373,0,7.550,151,0.250,1,-10921639,717.429,714,549,836,15066,93.455,0.600,0.049,0.713
ID4068514,4068514,12,97.608,53.986,22.328,0,7.600,152,0.250,1,-10921639,721.095,711,560,994,15143,116.274,0.300,0.062,0.722
ID4070113,4070113,12,121.022,53.950,22.451,0,7.650,153,0.250,1,-10921639,801.238,803,620,957,16826,102.940,0.593,0.089,1.274
ID4069309,4069309,12,149.426,54.058,22.591,0,7.700,154,0.250,1,-10921639,776.619,716,560,1093,16309,153.828,0.300,0.088,0.814
ID4070890,4070890,12,87.847,54.007,22.686,0,7.750,155,0.250,1,-10921639,709.333,710,536,864,14896,85.570,0.400,0.056,0.872
ID4067985,4067985,17,168.923,41.264,43.226,0,7.550,151,0.250,1,-10921639,812.429,809,567,1040,17061,134.091,0.300,0.091,1.007
ID4068767,4068767,17,150.106,41.264,43.140,0,7.600,152,0.250,1,-10921639,827.476,847,557,1033,17377,135.578,0.400,0.092,1.033
ID4070391,4070391,17,96.864,41.188,43.207,0,7.650,153,0.250,1,-10921639,776.619,771,613,941,16309,103.772,0.400,0.049,0.696
ID4069585,4069585,17,47.015,41.078,43.049,0,7.700,154,0.250,1,-10921639,678.190,679,550,778,14242,76.324,0.853,0.020,0.351
ID4071171,4071171,17,43.748,40.900,43.075,0,7.750,155,0.250,1,-10921639,645.048,650,516,779,13546,72.300,0.400,0.021,0.365
ID4071983,4071983,17,60.730,41.022,43.098,0,7.800,156,0.250,1,-10921639,662.333,633,528,821,13909,86.845,0.400,0.035,0.518
ID4073628,4073628,17,59.581,40.923,43.058,0,7.850,157,0.250,1,-10921639,652.190,663,529,827,13696,73.179,0.300,0.024,0.420
ID4072804,4072804,17,48.295,40.871,43.108,0,7.900,158,0.250,1,-10921639,644.857,651,543,743,13542,68.541,0.400,0.021,0.379
ID4068508,4068508,18,62.793,53.284,21.741,0,7.600,152,0.250,1,-10921639,672.524,668,517,817,14123,80.631,0.796,0.026,0.428
ID4070095,4070095,18,61.495,53.335,21.766,0,7.650,153,0.250,1,-10921639,705.238,693,566,1023,14810,95.097,0.820,0.047,0.666
ID4069292,4069292,18,112.474,53.427,21.648,0,7.700,154,0.250,1,-10921639,707.381,719,540,957,14855,121.832,0.300,0.056,0.618
ID4070873,4070873,18,75.023,53.472,21.657,0,7.750,155,0.250,1,-10921639,683.095,688,500,865,14345,102.998,0.300,0.041,0.524
