Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID193931,193931,3,84.401,64.006,34.835,0,7.550,151,0.250,1,-10921639,675.048,666,531,962,14176,102.676,0.300,0.041,0.519
ID192937,192937,3,63.456,64.063,34.714,0,7.600,152,0.250,1,-10921639,652.286,625,506,931,13698,110.656,0.400,0.039,0.442
ID195077,195077,3,63.896,63.942,34.765,0,7.650,153,0.250,1,-10921639,664.762,651,551,936,13960,88.565,0.300,0.039,0.561
ID196220,196220,3,49.009,64.038,34.693,0,7.700,154,0.250,1,-10921639,651.810,654,542,793,13688,66.339,0.300,0.024,0.463
ID197358,197358,3,51.426,63.890,34.751,0,7.750,155,0.250,1,-10921639,680.524,670,505,1001,14291,97.179,0.559,0.045,0.603
ID198476,198476,3,76.747,63.982,34.748,0,7.800,156,0.250,1,-10921639,666.524,653,548,787,13997,70.597,0.548,0.033,0.605
ID199609,199609,3,69.785,64.020,34.739,0,7.850,157,0.250,1,-10921639,659.333,654,521,780,13846,75.454,0.400,0.046,0.776
ID194503,194503,5,183.020,36.173,65.984,0,7.550,151,0.250,1,-10921639,807.714,805,523,1249,16962,166.627,0.300,0.108,0.942
ID193965,193965,5,188.363,36.189,66.078,0,7.600,152,0.250,1,-10921639,823.143,802,543,1204,17286,168.724,0.400,0.120,1.048
ID195595,195595,5,136.478,36.239,66.208,0,7.650,153,0.250,1,-10921639,776.952,744,592,1027,16316,115.807,0.591,0.093,1.141
ID196768,196768,5,96.124,36.271,66.396,0,7.700,154,0.250,1,-10921639,708.571,687,592,862,14880,88.052,0.601,0.055,0.844
ID197889,197889,5,95.489,36.272,66.490,0,7.750,155,0.250,1,-10921639,707.238,697,541,984,14852,113.741,0.300,0.067,0.783
ID193191,193191,9,110.410,53.545,11.871,0,7.550,151,0.250,1,-10921639,747.571,707,542,1044,15699,160.544,0.300,0.094,0.804
ID192494,192494,9,132.962,53.678,11.934,0,7.600,152,0.250,1,-10921639,767.429,742,534,1124,16116,148.025,0.400,0.100,0.942
ID194697,194697,9,68.246,53.723,12.075,0,7.650,153,0.250,1,-10921639,709.952,703,563,1022,14909,122.749,0.851,0.051,0.562
ID195802,195802,9,106.535,53.826,12.160,0,7.700,154,0.250,1,-10921639,727.857,722,531,1103,15285,136.689,0.300,0.074,0.736
ID196975,196975,9,82.150,53.923,12.200,0,7.750,155,0.250,1,-10921639,669.476,664,539,879,14059,96.790,0.300,0.035,0.464
ID198098,198098,9,105.257,53.781,12.221,0,7.800,156,0.250,1,-10921639,712.762,644,518,1124,14968,153.317,0.300,0.064,0.561
ID193708,193708,12,92.883,28.517,28.484,0,7.550,151,0.250,1,-10921639,739.048,722,553,975,15520,124.672,0.300,0.064,0.711
ID192758,192758,12,169.033,28.378,28.582,0,7.600,152,0.250,1,-10921639,844.810,868,596,1184,17741,162.873,0.300,0.093,0.887
ID194956,194956,12,161.906,28.474,28.593,0,7.650,153,0.250,1,-10921639,793.810,758,603,1161,16670,158.664,0.400,0.096,0.877
ID196098,196098,12,84.941,28.359,28.642,0,7.700,154,0.250,1,-10921639,742.810,718,586,961,15599,101.453,0.822,0.040,0.561
ID197240,197240,12,129.200,28.368,28.633,0,7.750,155,0.250,1,-10921639,768.476,732,612,1015,16138,124.817,0.300,0.065,0.756
ID198363,198363,12,118.421,28.336,28.638,0,7.800,156,0.250,1,-10921639,771.571,770,602,1012,16203,112.532,0.300,0.076,0.971
ID194240,194240,13,88.031,11.188,51.907,0,7.550,151,0.250,1,-10921639,786.667,799,589,1033,16520,115.654,0.809,0.050,0.652
ID193471,193471,13,62.465,11.130,52.046,0,7.600,152,0.250,1,-10921639,744.857,754,585,1007,15642,104.716,0.798,0.043,0.588
ID195340,195340,13,83.295,11.203,51.910,0,7.650,153,0.250,1,-10921639,758.429,746,608,947,15927,87.689,0.593,0.056,0.925
ID196512,196512,13,58.238,11.324,51.893,0,7.700,154,0.250,1,-10921639,697.000,684,558,853,14637,80.855,0.300,0.025,0.419
ID197627,197627,13,57.412,11.316,51.842,0,7.750,155,0.250,1,-10921639,729.048,736,591,878,15310,77.183,0.851,0.041,0.746
ID194513,194513,16,61.709,29.889,66.681,0,7.550,151,0.250,1,-10921639,705.381,697,601,937,14813,83.794,0.400,0.051,0.813
ID193983,193983,16,65.420,30.022,66.596,0,7.600,152,0.250,1,-10921639,691.381,695,565,896,14519,88.125,0.300,0.042,0.626
ID195601,195601,16,75.075,30.016,66.656,0,7.650,153,0.250,1,-10921639,724.905,732,575,899,15223,93.344,0.601,0.057,0.840
ID196776,196776,16,85.821,29.994,66.760,0,7.700,154,0.250,1,-10921639,712.667,699,562,896,14966,97.554,0.300,0.049,0.679
ID197894,197894,16,56.553,29.961,66.733,0,7.750,155,0.250,1,-10921639,696.476,696,560,818,14626,67.740,0.855,0.041,0.809
ID199012,199012,16,80.449,29.898,66.811,0,7.800,156,0.250,1,-10921639,708.048,694,556,1073,14869,119.615,0.300,0.046,0.526
