POSITION_X,POSITION_Y,TRACK_ID
43.4081,77.1825,200
15.7461,64.5915,199
12.4336,89.6017,198
16.9805,78.3925,197
27.0832,86.5103,196
36.8532,88.6161,195
35.8774,87.8782,194
21.6406,84.9948,193
30.2513,82.8421,192
17.2923,89.8613,191
28.5771,70.8834,190
30.9552,69.6742,189
17.209,83.5802,188
31.0609,80.3966,187
16.8851,60.0486,186
39.0146,76.1862,185
17.9154,76.6424,184
16.0535,92.6499,183
13.652000000000001,80.2463,182
19.5772,59.4156,181
27.0523,71.0586,180
24.6382,64.9033,179
9.6878,83.934,178
26.9052,58.4252,177
13.4196,67.8084,176
32.1927,69.2264,175
8.341439999999999,68.193,174
25.3323,67.9148,173
41.3442,75.1426,172
35.9815,78.3688,171
13.9632,80.643,170
12.0145,63.5026,169
22.0974,77.8748,168
22.3637,91.5479,167
14.8825,75.8248,166
23.7377,91.6451,165
27.0046,87.2048,164
22.7358,89.7796,163
34.9753,70.3514,162
32.8823,82.132,161
38.1402,85.5536,160
29.5379,92.0241,159
28.884,57.5087,158
27.651999999999997,90.5569,157
19.8823,58.4694,156
40.6272,80.9211,155
20.4498,81.1578,154
23.2799,62.1152,153
23.5484,83.8913,152
41.677,84.5943,151
22.9955,70.2717,150
29.2362,94.3293,149
29.9003,88.0302,148
36.0289,62.0302,147
20.262999999999998,90.9085,146
27.9302,68.0713,145
42.218,67.9978,144
8.77065,78.235,143
36.2547,62.7207,142
15.1767,82.9725,141
11.0616,82.2067,140
7.91063,80.5356,139
35.4454,75.289,138
35.0238,69.5587,137
31.342,93.1804,136
41.8468,72.3434,135
15.8831,67.8661,134
36.8601,85.251,133
35.2147,60.0793,132
15.9099,58.3915,131
34.3159,59.895,130
33.516,90.0026,129
9.16952,81.0232,128
9.53213,66.4678,127
27.0039,83.176,126
40.6533,62.6626,125
14.4318,64.7248,124
39.2537,68.8451,123
16.3938,57.8797,122
7.41304,81.3052,121
34.4488,88.7977,120
18.8203,77.5612,119
16.1147,82.1646,118
6.608569999999999,72.6035,117
22.011999999999997,73.9563,116
32.9335,90.1434,115
43.7809,70.9358,114
15.079,71.7192,113
27.8342,57.2248,112
40.5697,74.5334,111
37.6573,90.2894,110
10.4144,77.1428,109
7.05788,80.7478,108
35.7505,86.9695,107
31.7751,57.323,106
5.66237,71.6362,105
7.94572,66.1877,104
25.2775,72.66199999999999,103
39.5522,77.4616,102
26.4964,67.1438,101
22.6028,39.9694,100
29.0483,25.1587,99
17.2837,34.7738,98
18.1721,8.8895,97
43.472,23.2647,96
20.2512,43.6353,95
35.0529,10.9264,94
24.7424,10.4445,93
40.3614,25.1009,92
13.446,21.0938,91
38.5232,23.6448,90
30.64,19.4834,89
21.1019,33.9783,88
24.6949,27.3385,87
35.9206,21.66,86
17.2332,8.11782,85
27.4861,5.59361,84
10.4264,11.3652,83
19.5926,38.2731,82
15.5611,14.8889,81
29.6419,6.235609999999999,80
23.5228,33.2021,79
15.6303,20.4949,78
39.2374,11.2122,77
