Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID3420684,3420684,5,107.437,6.890,53.764,0,7.550,151,0.250,1,-10921639,836.857,811,617,1120,17574,134.810,0.846,0.066,0.773
ID3423004,3423004,5,111.245,7.000,53.888,0,7.600,152,0.250,1,-10921639,862.095,820,698,1319,18104,146.141,0.400,0.089,0.968
ID3427577,3427577,5,152.660,6.906,53.865,0,7.650,153,0.250,1,-10921639,845.000,862,625,1013,17745,116.868,0.400,0.068,0.922
ID3425337,3425337,5,90.611,6.883,54.053,0,7.700,154,0.250,1,-10921639,847.619,844,677,1076,17800,99.937,0.844,0.051,0.830
ID3429962,3429962,5,122.685,6.889,53.967,0,7.750,155,0.250,1,-10921639,873.667,852,661,1199,18347,147.145,0.600,0.076,0.834
ID3432294,3432294,5,87.463,6.934,53.944,0,7.800,156,0.250,1,-10921639,863.381,842,716,1122,18131,99.219,0.593,0.062,1.012
ID3434588,3434588,5,127.473,6.969,53.926,0,7.850,157,0.250,1,-10921639,861.381,879,658,1044,18089,108.632,0.598,0.074,1.093
ID3439300,3439300,5,89.527,6.856,53.956,0,7.900,158,0.250,1,-10921639,800.905,782,581,1016,16819,117.410,0.848,0.049,0.639
ID3436960,3436960,5,117.979,6.930,53.884,0,7.950,159,0.250,1,-10921639,835.667,791,637,1581,17549,211.024,0.300,0.088,0.640
ID3441630,3441630,5,138.012,6.969,53.898,0,8.000,160,0.250,1,-10921639,877.095,863,708,1174,18419,125.164,0.591,0.105,1.327
ID3443937,3443937,5,65.658,7.001,53.970,0,8.050,161,0.250,1,-10921639,782.476,778,570,1125,16432,138.442,0.848,0.045,0.484
ID3423290,3423290,7,100.294,27.374,61.790,0,7.600,152,0.250,1,-10921639,775.667,742,604,996,16289,117.085,0.400,0.064,0.798
ID3427870,3427870,7,74.679,27.374,61.912,0,7.650,153,0.250,1,-10921639,722.190,717,579,959,15166,105.472,0.300,0.035,0.461
ID3425616,3425616,7,73.302,27.351,61.899,0,7.700,154,0.250,1,-10921639,773.810,764,632,1019,16250,104.329,0.598,0.059,0.825
ID3430252,3430252,7,113.370,27.298,61.825,0,7.750,155,0.250,1,-10921639,775.333,787,571,1014,16282,115.850,0.300,0.049,0.625
ID3432579,3432579,7,88.826,27.346,61.866,0,7.800,156,0.250,1,-10921639,750.952,705,626,1066,15770,115.477,0.806,0.037,0.469
ID3434858,3434858,7,70.671,27.397,61.860,0,7.850,157,0.250,1,-10921639,744.905,749,587,966,15643,106.561,0.812,0.032,0.434
ID3439602,3439602,7,94.662,27.322,61.930,0,7.900,158,0.250,1,-10921639,739.381,714,543,1000,15527,121.799,0.400,0.052,0.602
ID3437227,3437227,7,72.209,27.353,61.930,0,7.950,159,0.250,1,-10921639,709.857,703,518,923,14907,91.014,0.799,0.027,0.414
ID3441924,3441924,7,61.802,27.325,62.015,0,8.000,160,0.250,1,-10921639,696.095,688,582,897,14618,76.003,0.844,0.034,0.603
ID3421284,3421284,10,85.457,10.118,5.269,0,7.600,152,0.250,1,-10921639,733.286,722,587,1060,15399,115.793,0.843,0.046,0.558
ID3425871,3425871,10,89.817,10.163,5.290,0,7.650,153,0.250,1,-10921639,725.857,696,543,891,15243,115.654,0.400,0.035,0.426
ID3423578,3423578,10,77.820,10.143,5.281,0,7.700,154,0.250,1,-10921639,745.476,731,636,902,15655,78.952,0.832,0.043,0.778
ID3428174,3428174,10,86.464,10.180,5.301,0,7.750,155,0.250,1,-10921639,778.429,799,604,1033,16347,118.010,0.400,0.055,0.684
ID3430572,3430572,10,89.912,10.171,5.255,0,7.800,156,0.250,1,-10921639,743.143,755,526,923,15606,122.747,0.300,0.036,0.425
ID3422414,3422414,15,90.448,50.265,36.979,0,7.600,152,0.250,1,-10921639,802.667,763,587,1134,16856,133.699,0.300,0.049,0.565
ID3427004,3427004,15,109.085,50.300,36.898,0,7.650,153,0.250,1,-10921639,813.381,809,642,1107,17081,135.742,0.400,0.064,0.716
ID3424752,3424752,15,123.075,50.299,36.851,0,7.700,154,0.250,1,-10921639,820.095,802,644,1193,17222,125.619,0.300,0.067,0.823
ID3429329,3429329,15,131.072,50.335,36.909,0,7.750,155,0.250,1,-10921639,831.238,751,605,1340,17456,189.300,0.300,0.082,0.667
ID3431695,3431695,15,133.882,50.275,36.863,0,7.800,156,0.250,1,-10921639,818.857,830,633,1051,17196,110.464,0.300,0.068,0.939
ID3433987,3433987,15,125.713,50.300,36.829,0,7.850,157,0.250,1,-10921639,795.286,792,616,1065,16701,130.440,0.300,0.069,0.792
ID3438679,3438679,15,102.214,50.274,36.840,0,7.900,158,0.250,1,-10921639,819.810,783,604,1163,17216,147.784,0.400,0.078,0.804
ID3436350,3436350,15,114.960,50.246,36.959,0,7.950,159,0.250,1,-10921639,772.667,739,618,1049,16226,118.977,0.300,0.053,0.650
ID3441054,3441054,15,77.660,50.362,36.847,0,8.000,160,0.250,1,-10921639,730.286,717,546,1027,15336,124.065,0.300,0.039,0.441
ID3443333,3443333,15,77.228,50.235,36.905,0,8.050,161,0.250,1,-10921639,733.286,716,624,868,15399,74.376,0.599,0.056,1.052
ID3445671,3445671,15,82.710,50.260,36.865,0,8.100,162,0.250,1,-10921639,736.000,714,581,962,15456,108.886,0.839,0.040,0.522
ID3419006,3419006,16,58.136,11.849,5.536,0,7.550,151,0.250,1,-10921639,699.190,691,549,871,14683,87.788,0.792,0.032,0.499
ID3421295,3421295,16,127.242,11.830,5.589,0,7.600,152,0.250,1,-10921639,809.238,774,611,1173,16994,150.738,0.601,0.077,0.768
ID3425878,3425878,16,107.857,11.844,5.625,0,7.650,153,0.250,1,-10921639,774.000,769,601,972,16254,105.985,0.300,0.064,0.882
ID3423590,3423590,16,101.490,11.837,5.692,0,7.700,154,0.250,1,-10921639,759.286,740,624,1029,15945,106.998,0.300,0.063,0.838
ID3428187,3428187,16,79.697,11.761,5.682,0,7.750,155,0.250,1,-10921639,721.762,659,522,1020,15157,133.029,0.300,0.045,0.469
ID3425620,3425620,46,63.395,2.849,61.943,0,7.700,154,0.250,1,-10921639,797.524,795,638,1041,16748,107.860,0.853,0.027,0.393
ID3430257,3430257,46,112.935,2.737,62.012,0,7.750,155,0.250,1,-10921639,814.429,827,579,1200,17103,162.965,0.300,0.065,0.612
ID3432581,3432581,46,96.759,2.743,62.102,0,7.800,156,0.250,1,-10921639,781.667,769,561,1006,16415,128.923,0.300,0.044,0.506
ID3434868,3434868,46,142.206,2.777,62.047,0,7.850,157,0.250,1,-10921639,840.524,832,600,1050,17651,131.772,0.300,0.059,0.712
ID3439606,3439606,46,56.208,2.811,62.103,0,7.900,158,0.250,1,-10921639,770.429,781,605,933,16179,88.291,0.795,0.023,0.389
ID3448848,3448848,156,68.080,33.987,61.754,0,8.200,164,0.250,1,-10921639,740.000,720,572,1053,15540,128.585,0.300,0.051,0.558
ID3453460,3453460,156,97.685,34.021,61.731,0,8.250,165,0.250,1,-10921639,720.143,707,537,976,15123,124.090,0.300,0.048,0.527
ID3455791,3455791,156,58.205,33.942,61.710,0,8.300,166,0.250,1,-10921639,747.143,729,579,972,15690,98.807,0.593,0.046,0.672
ID3458109,3458109,156,79.245,34.032,61.716,0,8.350,167,0.250,1,-10921639,737.905,695,599,1030,15496,113.154,0.300,0.040,0.504
ID3460405,3460405,156,78.109,33.987,61.698,0,8.400,168,0.250,1,-10921639,760.333,768,543,1035,15967,127.206,0.595,0.053,0.602
ID3448859,3448859,159,107.599,27.340,61.824,0,8.200,164,0.250,1,-10921639,780.286,763,613,1153,16386,127.065,0.599,0.072,0.826
ID3453476,3453476,159,84.547,27.329,61.988,0,8.250,165,0.250,1,-10921639,762.762,762,598,976,16018,111.626,0.848,0.056,0.727
ID3455802,3455802,159,91.626,27.341,61.924,0,8.300,166,0.250,1,-10921639,750.000,732,559,1022,15750,109.571,0.300,0.050,0.647
ID3458113,3458113,159,91.000,27.484,61.838,0,8.350,167,0.250,1,-10921639,778.619,782,609,980,16351,105.707,0.400,0.058,0.812
ID3460409,3460409,159,118.114,27.387,61.876,0,8.400,168,0.250,1,-10921639,797.476,759,592,1045,16747,119.667,0.400,0.061,0.770
ID3462702,3462702,159,80.276,27.417,61.911,0,8.450,169,0.250,1,-10921639,761.762,732,596,1021,15997,110.210,0.400,0.052,0.680
ID3464944,3464944,159,83.301,27.300,61.989,0,8.500,170,0.250,1,-10921639,771.048,763,571,1010,16192,110.345,0.300,0.055,0.727
ID3467175,3467175,159,93.821,27.407,61.889,0,8.550,171,0.250,1,-10921639,778.333,795,601,950,16345,100.321,0.400,0.056,0.821
