Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID2091278,2091278,1,129.199,38.606,47.920,0,10.150,203,0.250,1,-10921639,697.238,676,569,888,14642,100.494,0.400,0.056,0.739
ID2089683,2089683,1,125.070,38.518,47.982,0,10.200,204,0.250,1,-10921639,678.429,669,516,879,14247,93.754,0.300,0.039,0.544
ID2094036,2094036,1,148.169,38.577,47.870,0,10.250,205,0.250,1,-10921639,697.048,683,518,948,14638,100.075,0.300,0.054,0.717
ID2096159,2096159,1,127.185,38.566,47.863,0,10.300,206,0.250,1,-10921639,684.905,692,547,1011,14383,106.768,0.400,0.035,0.431
ID2094070,2094070,1,148.675,38.566,47.929,0,10.350,207,0.250,1,-10921639,680.571,654,516,999,14292,130.311,0.300,0.049,0.490
ID2100943,2100943,1,95.372,38.510,47.906,0,10.400,208,0.250,1,-10921639,678.381,646,527,886,14246,106.688,0.601,0.041,0.503
ID2091938,2091938,2,98.830,59.966,6.288,0,10.250,205,0.250,1,-10921639,661.000,641,534,840,13881,85.715,0.799,0.041,0.600
ID2095133,2095133,2,126.435,59.978,6.236,0,10.300,206,0.250,1,-10921639,684.143,680,546,803,14367,76.070,0.300,0.064,1.074
ID2092095,2092095,2,85.683,59.935,6.322,0,10.350,207,0.250,1,-10921639,654.238,633,488,876,13739,94.855,0.548,0.037,0.487
ID2099895,2099895,2,52.614,59.962,6.433,0,10.400,208,0.250,1,-10921639,607.095,605,488,725,12749,70.684,0.400,0.013,0.229
ID2095631,2095631,7,117.739,14.311,26.059,0,10.300,206,0.250,1,-10921639,662.524,644,508,921,13913,119.772,0.300,0.027,0.288
ID2092996,2092996,7,168.549,14.210,26.104,0,10.350,207,0.250,1,-10921639,695.952,668,547,1183,14615,141.860,0.300,0.046,0.430
ID2100387,2100387,7,150.718,14.210,26.034,0,10.400,208,0.250,1,-10921639,654.143,606,533,916,13737,115.960,0.300,0.045,0.484
ID2097235,2097235,7,122.527,14.226,26.012,0,10.450,209,0.250,1,-10921639,657.905,610,526,829,13816,99.452,0.300,0.045,0.564
ID2098775,2098775,7,145.552,14.117,26.031,0,10.500,210,0.250,1,-10921639,727.667,717,534,987,15281,116.904,0.300,0.052,0.617
