Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID4371245,4371245,3,68.507,62.815,20.505,0,10.450,209,0.250,1,-10921639,626.619,613,536,812,13159,71.316,0.300,0.006,0.106
ID4368361,4368361,3,120.237,62.900,20.489,0,10.500,210,0.250,1,-10921639,662.095,645,512,1018,13904,102.154,0.400,0.035,0.443
ID4374153,4374153,3,67.001,62.909,20.482,0,10.550,211,0.250,1,-10921639,644.905,636,496,839,13543,92.656,0.300,0.025,0.343
ID4372698,4372698,3,87.130,62.985,20.401,0,10.600,212,0.250,1,-10921639,640.381,608,536,917,13448,99.312,0.851,0.027,0.338
ID4375573,4375573,3,92.444,63.059,20.592,0,10.650,213,0.250,1,-10921639,652.667,647,507,906,13706,93.622,0.300,0.010,0.137
ID4378369,4378369,3,116.159,62.878,20.644,0,10.700,214,0.250,1,-10921639,696.143,674,558,906,14619,91.337,0.832,0.043,0.635
ID4376970,4376970,3,86.883,62.772,20.331,0,10.750,215,0.250,1,-10921639,645.190,634,531,832,13549,68.697,0.300,0.028,0.517
ID4378372,4378372,4,137.897,10.547,21.026,0,10.700,214,0.250,1,-10921639,713.762,704,530,869,14989,93.222,0.796,0.058,0.844
ID4376985,4376985,4,128.997,10.534,20.979,0,10.750,215,0.250,1,-10921639,693.571,661,547,957,14565,103.656,0.400,0.054,0.692
ID4379730,4379730,4,153.790,10.672,21.021,0,10.800,216,0.250,1,-10921639,759.381,731,607,990,15947,109.261,0.593,0.076,0.980
ID4381124,4381124,4,110.999,10.544,20.920,0,10.850,217,0.250,1,-10921639,707.762,696,587,901,14863,81.062,0.831,0.051,0.847
ID4383989,4383989,4,203.614,10.551,20.943,0,10.900,218,0.250,1,-10921639,748.095,698,565,1049,15710,134.265,0.300,0.079,0.820
ID4382537,4382537,4,80.515,10.502,20.788,0,10.950,219,0.250,1,-10921639,665.000,639,553,817,13965,76.299,0.400,0.026,0.439
