 ,TRACK_ID,Frame,POSITION_X,POSITION_Y,z,m0,m1,m2,m3,m4,NPscore
1,1,5,14.452843999999999,40.911598,0,1.145,1.043,1.412,2.061,3.234,0.223
2,1,7,14.446726000000004,41.122536000000004,0,1.069,1.016,1.341,1.896,2.8739999999999997,0.212
3,2,7,33.968865,40.384519,0,1.014,1.051,1.4509999999999998,2.167,3.4789999999999996,0.201
4,2,9,33.880686000000004,40.893244,0,1.036,1.081,1.516,2.3,3.748,0.213
5,3,8,31.067470000000004,7.503461000000001,0,1.074,1.045,1.43,2.114,3.36,0.214
6,3,9,31.037545,7.388416,0,1.078,1.038,1.3980000000000001,2.026,3.1510000000000002,0.213
7,3,10,31.042466000000005,7.427251999999999,0,0.9540000000000001,1.013,1.354,1.955,3.0389999999999997,0.262
8,3,11,31.037013,7.500801,0,0.868,1.0659999999999998,1.501,2.292,3.762,0.20199999999999999
9,4,8,33.047175,23.197594000000002,0,0.9620000000000001,1.047,1.4380000000000002,2.135,3.405,0.20199999999999999
10,4,9,32.942504,23.076165,0,1.072,1.091,1.4969999999999999,2.204,3.466,0.221
11,5,8,43.050504000000004,35.048559,0,1.068,1.044,1.4380000000000002,2.147,3.452,0.215
12,5,9,43.040529,35.072366,0,0.983,1.061,1.464,2.185,3.5069999999999997,0.22699999999999998
13,6,8,46.780356,45.318952,0,1.075,1.046,1.4080000000000001,2.04,3.174,0.213
14,6,9,46.834753,45.268545,0,1.077,1.04,1.39,1.995,3.07,0.21
15,7,9,22.632344000000003,24.397387000000005,0,1.058,1.094,1.514,2.246,3.56,0.215
16,7,11,22.642452000000006,24.422391,0,1.046,1.062,1.4680000000000002,2.194,3.529,0.22399999999999998
17,8,9,40.792696,34.521746,0,0.9670000000000001,1.072,1.4680000000000002,2.168,3.4360000000000004,0.21899999999999997
18,8,10,40.879545,34.52414,0,0.9590000000000001,1.0270000000000001,1.358,1.9169999999999998,2.8939999999999997,0.261
