Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID7688885,7688885,0,67.313,46.137,61.191,0,5.200,104,0.250,1,-10921639,658.286,661,504,858,13824,98.823,0.400,0.025,0.322
ID7689641,7689641,0,80.724,46.126,61.369,0,5.250,105,0.250,1,-10921639,680.714,660,546,895,14295,90.871,0.595,0.039,0.567
ID7690337,7690337,0,151.618,46.008,61.448,0,5.300,106,0.250,1,-10921639,681.857,660,515,1166,14319,140.507,0.853,0.036,0.341
ID7691012,7691012,0,59.129,46.209,61.180,0,5.350,107,0.250,1,-10921639,663.857,656,542,830,13941,71.490,0.400,0.024,0.434
ID7692374,7692374,0,77.803,46.303,61.233,0,5.400,108,0.250,1,-10921639,671.619,669,563,859,14104,82.035,0.857,0.032,0.508
ID7686495,7686495,4,145.697,4.340,34.590,0,5.050,101,0.250,1,-10921639,693.952,695,537,911,14573,107.341,0.300,0.051,0.632
ID7687173,7687173,4,210.310,4.355,34.572,0,5.100,102,0.250,1,-10921639,719.095,682,520,1015,15101,144.572,0.300,0.077,0.708
ID7687934,7687934,4,286.556,4.333,34.618,0,5.150,103,0.250,1,-10921639,758.952,688,558,1258,15938,206.721,0.300,0.096,0.644
ID7687985,7687985,4,305.820,4.389,34.541,0,5.200,104,0.250,1,-10921639,725.048,649,513,1168,15226,191.705,0.300,0.090,0.626
ID7689198,7689198,4,241.538,4.354,34.578,0,5.250,105,0.250,1,-10921639,704.619,660,530,1206,14797,184.349,0.300,0.075,0.535
ID7689868,7689868,4,293.088,4.359,34.563,0,5.300,106,0.250,1,-10921639,729.857,651,521,1271,15327,188.136,0.300,0.108,0.753
