Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID3363123,3363123,0,47.289,57.971,3.316,0,7.800,156,0.250,1,-10921639,666.524,662,519,805,13997,73.261,0.597,0.034,0.598
ID3363891,3363891,0,53.023,58.081,3.184,0,7.850,157,0.250,1,-10921639,660.810,658,534,880,13877,91.274,0.597,0.021,0.302
ID3364638,3364638,0,54.802,58.188,3.417,0,7.900,158,0.250,1,-10921639,693.571,693,563,813,14565,72.610,0.852,0.026,0.481
ID3366171,3366171,0,88.028,58.208,3.127,0,7.950,159,0.250,1,-10921639,713.476,718,571,988,14983,106.468,0.597,0.059,0.750
ID3365403,3365403,0,78.713,58.115,3.126,0,8.000,160,0.250,1,-10921639,743.905,736,561,1022,15622,99.816,0.564,0.054,0.758
ID3363119,3363119,2,87.824,55.589,3.208,0,7.800,156,0.250,1,-10921639,718.381,693,558,1060,15086,122.128,0.807,0.033,0.372
ID3363895,3363895,2,80.974,55.587,3.386,0,7.850,157,0.250,1,-10921639,716.238,695,523,1011,15041,129.703,0.853,0.039,0.410
ID3364636,3364636,2,126.489,55.556,3.330,0,7.900,158,0.250,1,-10921639,754.810,727,568,973,15851,121.516,0.553,0.068,0.788
ID3366178,3366178,2,120.495,55.453,3.346,0,7.950,159,0.250,1,-10921639,762.857,796,557,1032,16020,134.428,0.594,0.074,0.778
ID3365406,3365406,2,64.462,55.618,3.336,0,8.000,160,0.250,1,-10921639,703.286,654,528,1204,14769,147.784,0.300,0.048,0.440
ID3367017,3367017,2,55.261,55.404,3.646,0,8.050,161,0.250,1,-10921639,662.714,648,546,804,13917,84.175,0.400,0.025,0.388
ID3362891,3362891,3,58.639,12.129,47.744,0,7.700,154,0.250,1,-10921639,694.048,692,562,812,14575,85.165,0.400,0.032,0.500
ID3362094,3362094,3,48.818,12.341,47.742,0,7.750,155,0.250,1,-10921639,689.190,686,530,1100,14473,136.476,0.556,0.030,0.290
ID3363634,3363634,3,62.252,12.213,47.661,0,7.800,156,0.250,1,-10921639,670.619,672,568,798,14083,64.633,0.796,0.030,0.596
ID3364406,3364406,3,59.763,12.169,47.627,0,7.850,157,0.250,1,-10921639,657.238,633,514,951,13802,100.943,0.300,0.039,0.494
ID3365169,3365169,3,49.744,12.088,47.634,0,7.900,158,0.250,1,-10921639,666.714,661,513,807,14001,79.546,0.300,0.035,0.573
ID3366747,3366747,3,76.557,12.105,47.770,0,7.950,159,0.250,1,-10921639,686.381,709,544,802,14414,83.928,0.794,0.026,0.416
ID3365936,3365936,3,82.090,12.082,47.874,0,8.000,160,0.250,1,-10921639,761.238,726,548,984,15986,110.564,0.590,0.079,1.003
ID3367548,3367548,3,62.647,12.031,47.723,0,8.050,161,0.250,1,-10921639,684.095,661,559,954,14366,109.086,0.797,0.027,0.325
ID3361582,3361582,4,87.646,34.442,3.573,0,7.750,155,0.250,1,-10921639,705.762,651,531,1034,14821,128.851,0.300,0.079,0.803
ID3363129,3363129,4,70.933,34.438,3.567,0,7.800,156,0.250,1,-10921639,650.905,625,522,924,13669,97.126,0.400,0.054,0.681
ID3363899,3363899,4,109.089,34.424,3.523,0,7.850,157,0.250,1,-10921639,669.905,656,485,859,14068,115.656,0.300,0.061,0.667
ID3364637,3364637,4,108.323,34.415,3.456,0,7.900,158,0.250,1,-10921639,702.286,655,564,988,14748,127.423,0.400,0.089,0.905
ID3366179,3366179,4,112.148,34.535,3.507,0,7.950,159,0.250,1,-10921639,693.857,676,531,1006,14571,115.285,0.400,0.077,0.864
ID3365404,3365404,4,61.647,34.539,3.389,0,8.000,160,0.250,1,-10921639,693.095,638,541,1375,14555,180.093,0.601,0.071,0.507
ID3367013,3367013,4,118.174,34.538,3.404,0,8.050,161,0.250,1,-10921639,697.905,661,537,970,14656,117.807,0.300,0.083,0.904
ID3359801,3359801,6,183.537,10.012,47.858,0,7.550,151,0.250,1,-10921639,765.905,717,564,1091,16084,175.417,0.400,0.102,0.810
ID3361336,3361336,6,196.119,9.977,47.782,0,7.600,152,0.250,1,-10921639,758.286,694,508,1137,15924,186.123,0.300,0.110,0.807
ID3360563,3360563,6,139.289,9.983,47.829,0,7.650,153,0.250,1,-10921639,710.286,623,520,1248,14916,207.559,0.300,0.090,0.562
ID3362890,3362890,6,193.530,9.982,47.778,0,7.700,154,0.250,1,-10921639,743.048,635,520,1142,15604,199.144,0.300,0.107,0.724
ID3362093,3362093,6,152.062,9.981,47.779,0,7.750,155,0.250,1,-10921639,740.238,708,521,1179,15545,164.134,0.300,0.104,0.850
ID3363637,3363637,6,171.949,9.959,47.875,0,7.800,156,0.250,1,-10921639,766.048,678,582,1279,16087,201.641,0.300,0.118,0.800
ID3364408,3364408,6,112.958,9.953,47.799,0,7.850,157,0.250,1,-10921639,718.857,665,577,1141,15096,160.052,0.300,0.093,0.764
