POSITION_X,POSITION_Y,TRACK_ID
39.5282,39.9592,88
40.3407,60.1227,87
60.0294,59.9637,86
60.0,40.0,85
50.0,40.0,84
50.0,60.0,83
40.0,50.0,82
59.8257,49.7238,81
29.614,59.3736,80
52.1945,55.0346,79
39.0796,38.5043,78
62.8945,53.2346,77
57.9553,57.7714,76
32.2098,65.4249,75
56.6693,66.1113,74
27.1444,51.3204,73
59.8456,53.0094,72
70.3278,43.4531,71
58.0605,39.4998,70
47.3862,26.2784,69
64.3628,63.3944,68
42.162,63.842,67
55.6117,58.2607,66
55.4826,67.3322,65
42.9421,52.2034,64
56.8636,26.5034,63
61.2638,59.2939,62
64.2462,37.3995,61
40.4242,62.1876,60
50.2729,40.8534,59
51.233000000000004,45.6453,58
55.9261,30.4032,57
42.8251,57.4858,56
33.4306,44.0502,55
42.2474,28.745,54
57.6057,36.1437,53
53.1363,41.8682,52
39.6779,58.9395,51
31.9274,34.5465,50
53.1312,62.7307,49
54.1253,63.6171,48
54.8827,38.1144,47
56.1465,50.5236,46
36.1168,47.2974,45
36.1575,39.2322,44
65.7798,49.6048,43
60.4961,69.4925,42
31.8418,48.7248,41
38.5902,31.3572,40
46.8749,34.3361,39
66.9133,63.6172,38
71.6676,41.7429,37
45.3229,41.5019,36
52.7957,59.2115,35
26.58,49.5485,34
35.8143,37.2732,33
35.1134,53.7537,32
45.8449,62.0961,31
53.7183,30.4254,30
55.6198,33.8662,29
67.2065,54.4316,28
40.9292,31.0319,27
28.6656,46.3828,26
62.5689,59.9578,25
56.8256,45.4146,24
63.7817,37.2839,23
41.9394,63.4395,22
44.4869,73.2842,21
53.9112,47.1732,20
54.4679,26.0411,19
45.2541,70.8262,18
51.6783,42.2993,17
52.6658,46.4995,16
43.3537,42.6614,15
57.9075,72.5309,14
39.7431,28.7843,13
51.6163,27.2908,12
52.3035,27.5736,11
61.5714,49.7258,10
57.5948,28.6795,9
68.9992,51.6443,8
64.0704,40.2942,7
40.2617,57.1159,6
37.4493,65.8048,5
51.4621,34.7276,4
53.9761,43.5679,3
49.3244,63.3321,2
73.5244,44.3457,1
39.6732,39.8162,88
40.4284,60.108999999999995,87
60.1613,60.0377,86
60.0823,39.9352,85
50.0994,40.0023,84
49.9563,60.0371,83
40.0747,50.0372,82
59.7762,49.7617,81
29.3762,59.3629,80
52.346000000000004,55.0254,79
39.1184,38.5462,78
62.9142,53.0752,77
57.9666,57.8466,76
32.2725,65.4904,75
56.6003,65.9547,74
26.9822,51.413000000000004,73
59.99,52.9589,72
70.2777,43.4419,71
58.0702,39.4964,70
47.3765,26.2735,69
64.1501,63.3809,68
42.3079,63.7223,67
55.7608,58.2676,66
55.5267,67.2143,65
42.8555,52.3369,64
56.7339,26.533,63
61.1594,59.2039,62
64.2115,37.4356,61
40.5553,62.0848,60
50.3456,40.7478,59
51.1469,45.656000000000006,58
55.9894,30.3003,57
42.7389,57.3803,56
33.3218,43.9245,55
42.2541,28.8627,54
57.5502,36.0541,53
53.1844,41.8952,52
39.7748,58.9317,51
31.9808,34.5944,50
53.3068,62.7347,49
54.1278,63.7407,48
54.8287,38.1292,47
56.1962,50.5546,46
36.1083,47.2882,45
36.0691,39.188,44
65.7759,49.5028,43
60.498999999999995,69.4924,42
31.8132,48.8368,41
38.7118,31.208000000000002,40
46.8609,34.3781,39
66.8687,63.5564,38
71.7359,41.7309,37
45.3515,41.515,36
52.6626,59.1537,35
26.5752,49.5477,34
35.7368,37.3203,33
35.0903,53.861999999999995,32
45.7663,62.159,31
53.6105,30.3815,30
55.5462,33.966,29
67.2849,54.5458,28
40.708,31.2197,27
28.5478,46.5029,26
62.4562,60.0894,25
56.7416,45.3816,24
63.6799,37.3234,23
41.9739,63.2989,22
44.3882,73.3268,21
54.0329,47.2901,20
54.3874,25.9983,19
45.3774,70.8396,18
51.7112,42.3,17
52.7833,46.4413,16
43.3888,42.6432,15
57.9471,72.656,14
39.6609,28.9409,13
51.626999999999995,27.1814,12
52.4445,27.4693,11
61.8328,49.7902,10
57.4841,28.6365,9
68.9265,51.4599,8
64.2292,40.1504,7
40.3835,56.9867,6
37.4794,65.7816,5
51.5179,34.6903,4
54.0582,43.4345,3
49.278,63.3063,2
73.4553,44.275,1
39.7269,39.9136,88
40.3496,59.9417,87
59.7895,60.0771,86
60.0334,39.8542,85
50.0133,40.148,84
49.968,60.1594,83
40.2159,49.898,82
59.8635,49.7403,81
29.3816,59.1722,80
52.2249,55.0992,79
39.1865,38.6998,78
62.7156,53.07,77
57.9905,57.9422,76
32.1985,65.7363,75
56.5171,66.08,74
26.9502,51.3264,73
60.0045,53.1212,72
70.4181,43.6559,71
57.9628,39.5848,70
47.3241,26.116,69
64.2346,63.2447,68
42.3232,63.8333,67
55.6863,58.34,66
55.6764,67.2989,65
42.7719,52.3677,64
56.7576,26.4653,63
61.1382,59.3714,62
64.3778,37.2055,61
40.4644,62.1387,60
50.4108,40.6424,59
51.2823,45.6908,58
56.1608,30.2333,57
42.8291,57.0958,56
33.2941,43.9379,55
42.3143,28.9332,54
57.6418,36.0145,53
53.1324,41.9081,52
39.7767,58.8441,51
31.9603,34.4909,50
53.3173,62.6001,49
54.0521,63.7221,48
54.7392,38.0308,47
56.2256,50.645,46
36.3308,47.193999999999996,45
35.9155,39.2569,44
65.6986,49.5594,43
60.5575,69.5202,42
31.7619,48.8944,41
38.8427,31.3233,40
46.8668,34.3877,39
66.6707,63.7101,38
71.6502,41.8899,37
45.4722,41.4483,36
52.7211,59.1872,35
26.6263,49.5016,34
35.6415,37.2872,33
34.9302,53.9543,32
45.693999999999996,62.2111,31
53.7086,30.3946,30
55.6868,33.9627,29
67.2433,54.6292,28
40.8414,31.2653,27
28.4845,46.5266,26
62.3896,60.141999999999996,25
56.667,45.3365,24
63.6374,37.1361,23
42.0145,63.4186,22
44.4929,73.3444,21
54.1808,47.2784,20
54.465,25.9684,19
45.4687,70.9822,18
51.6783,42.2668,17
52.9907,46.5718,16
43.3841,42.8017,15
57.9421,72.6364,14
39.5886,29.0208,13
51.7268,27.1245,12
52.368,27.3764,11
61.8838,49.8668,10
57.6554,28.5032,9
68.8583,51.5715,8
64.0973,40.2535,7
40.3745,57.0749,6
37.498000000000005,65.757,5
51.4981,34.6231,4
54.1733,43.3601,3
49.2188,63.4887,2
73.3687,44.2288,1
39.5618,40.0114,88
40.2185,59.9639,87
59.7796,60.301,86
59.9681,39.9433,85
