Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID1119645,1119645,2,55.484,40.837,32.079,0,5.250,105,0.250,1,-10921639,705.381,700,554,894,14813,82.197,0.300,0.039,0.644
ID1120907,1120907,2,126.566,41.103,32.134,0,5.300,106,0.250,1,-10921639,761.714,770,575,1028,15996,121.059,0.400,0.075,0.882
ID1122111,1122111,2,81.891,41.081,32.148,0,5.350,107,0.250,1,-10921639,758.857,739,573,1015,15936,123.710,0.400,0.061,0.700
ID1124567,1124567,2,56.229,41.202,32.047,0,5.400,108,0.250,1,-10921639,724.952,711,587,982,15224,98.775,0.601,0.037,0.524
ID1123329,1123329,2,56.989,41.349,31.931,0,5.450,109,0.250,1,-10921639,706.524,711,576,803,14837,63.593,0.300,0.038,0.809
ID1125757,1125757,2,59.521,41.531,31.918,0,5.500,110,0.250,1,-10921639,699.143,671,573,841,14682,82.255,0.599,0.034,0.555
ID1126861,1126861,2,68.899,41.411,31.718,0,5.550,111,0.250,1,-10921639,689.905,667,586,929,14488,88.815,0.300,0.038,0.566
ID1118962,1118962,3,62.214,53.605,57.798,0,5.200,104,0.250,1,-10921639,684.238,661,531,1140,14369,131.448,0.400,0.051,0.507
ID1120152,1120152,3,56.477,53.586,57.854,0,5.250,105,0.250,1,-10921639,658.524,644,518,897,13829,93.169,0.300,0.044,0.598
ID1121406,1121406,3,89.734,53.509,57.840,0,5.300,106,0.250,1,-10921639,674.667,676,568,822,14168,80.862,0.300,0.046,0.730
ID1122606,1122606,3,91.248,53.532,57.755,0,5.350,107,0.250,1,-10921639,685.714,650,557,942,14400,108.960,0.300,0.047,0.565
ID1125057,1125057,3,77.958,53.474,57.771,0,5.400,108,0.250,1,-10921639,666.381,642,520,867,13994,91.780,0.300,0.052,0.717
ID1123845,1123845,3,60.943,53.469,57.901,0,5.450,109,0.250,1,-10921639,659.524,642,538,830,13850,88.987,0.300,0.038,0.546
ID1126212,1126212,3,43.049,53.537,57.783,0,5.500,110,0.250,1,-10921639,669.190,653,530,918,14053,93.839,0.300,0.033,0.460
