Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID515635,515635,0,56.361,29.918,30.393,0,7.400,148,0.250,1,-10921639,682.190,692,537,895,14326,91.056,0.300,0.027,0.391
ID515783,515783,0,70.424,30.069,30.334,0,7.450,149,0.250,1,-10921639,675.905,675,544,839,14194,66.696,0.601,0.041,0.794
ID515930,515930,0,58.921,30.222,30.015,0,7.500,150,0.250,1,-10921639,671.048,654,526,905,14092,86.148,0.300,0.032,0.489
ID516074,516074,0,66.586,30.167,30.115,0,7.550,151,0.250,1,-10921639,668.762,673,555,783,14044,70.311,0.300,0.028,0.521
ID516221,516221,0,74.509,30.188,30.058,0,7.600,152,0.250,1,-10921639,654.429,684,493,808,13743,92.837,0.300,0.019,0.270
ID516385,516385,0,69.947,29.925,30.179,0,7.650,153,0.250,1,-10921639,691.714,715,531,938,14526,103.785,0.400,0.039,0.502
ID515698,515698,4,135.859,50.203,44.277,0,7.400,148,0.250,1,-10921639,771.571,759,540,985,16203,117.145,0.400,0.077,0.939
ID515841,515841,4,134.113,50.272,44.142,0,7.450,149,0.250,1,-10921639,695.952,678,537,918,14615,123.863,0.400,0.068,0.712
ID515989,515989,4,87.581,50.256,44.307,0,7.500,150,0.250,1,-10921639,669.952,662,512,820,14069,97.130,0.855,0.031,0.416
ID516137,516137,4,165.051,50.082,44.232,0,7.550,151,0.250,1,-10921639,803.286,790,554,1065,16869,148.688,0.400,0.092,0.915
ID516286,516286,4,58.149,50.294,44.262,0,7.600,152,0.250,1,-10921639,681.571,658,573,909,14313,82.840,0.300,0.047,0.742
ID516443,516443,4,97.117,50.209,44.193,0,7.650,153,0.250,1,-10921639,715.905,731,569,960,15034,111.269,0.300,0.065,0.785
ID516900,516900,4,71.255,50.210,44.224,0,7.700,154,0.250,1,-10921639,693.000,679,525,893,14553,96.642,0.844,0.059,0.796
ID516592,516592,4,61.341,50.182,44.220,0,7.750,155,0.250,1,-10921639,671.619,649,533,850,14104,96.956,0.300,0.042,0.561
ID516753,516753,4,82.524,50.137,44.189,0,7.800,156,0.250,1,-10921639,682.857,663,530,814,14340,85.531,0.400,0.045,0.687
ID517334,517334,4,50.193,50.154,44.070,0,7.850,157,0.250,1,-10921639,644.524,640,503,787,13535,76.009,0.300,0.027,0.443
ID517188,517188,4,58.643,50.033,44.117,0,7.900,158,0.250,1,-10921639,680.571,662,547,889,14292,82.515,0.858,0.036,0.580
ID517479,517479,4,60.112,49.911,44.406,0,7.950,159,0.250,1,-10921639,683.429,660,561,1033,14352,108.262,0.400,0.040,0.488
